Neuronas,Inicialización,Normalización,Learning rate,Batch size,Pesado_termino,Representacion_terminos,ProcesamientosTXT,Epocas_ejecutadas,Error final,Tiempo (s),Presicion(macro),Recall(macro),Accuracy(macro),F1-score(macro)
128,Normal,none,0.1,16,TF,"(1, 2)",only_normalizar_texto,100,0.021626903498462885,1507.0098445415497,0.668151348552334,0.6698832309509505,0.674,0.6687409310208876
128,Normal,none,0.1,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.02465207763929017,1087.0252332687378,0.6715373384654367,0.6743136701938521,0.676,0.6720315821439418
128,Normal,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,100,0.016603197322626276,307.22605562210083,0.7062668899248712,0.7099492788274867,0.71,0.706829063146998
128,Normal,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,15,0.28982325686984645,42.58051371574402,0.2135,0.5,0.427,0.299229152067274
128,Normal,none,0.5,16,TF-IDF,"(2, 2)",only_normalizar_texto,16,0.2101722279081698,104.94020509719849,0.2865,0.5,0.573,0.3642720915448188
128,Normal,none,0.5,64,TF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.03747073789988469,385.60200357437134,0.702141382868937,0.7049445990738583,0.707,0.7029334560802829
128,Normal,none,0.5,32,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.02766681017871648,390.04975485801697,0.6618928471808792,0.6589338335969526,0.67,0.6599396547460059
128,Xavier,none,0.01,16,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.06976421427799769,578.0091857910156,0.6652714483851793,0.6636401535122676,0.673,0.6642982756018763
128,Normal,none,0.5,64,TF,"(2, 2)",normalizar_txt_sin_StopWords,18,0.2101450754272736,52.99357509613037,0.2865,0.5,0.573,0.3642720915448188
128,Xavier,none,0.1,64,TF-IDF,"(1, 2)",only_normalizar_texto,23,0.21019671355492853,89.17140936851501,0.2865,0.5,0.573,0.3642720915448188
128,Xavier,none,0.01,16,TF,"(1, 2)",only_normalizar_texto,100,0.0066401816906980085,1008.7635750770569,0.7159481459149835,0.7195703618328286,0.72,0.7166955367405416
128,Normal,none,0.5,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.033977842802433954,387.8672511577606,0.7011363636363637,0.7025577203673504,0.707,0.7017237921595095
128,Normal,none,0.5,16,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.03417591726576898,633.0258333683014,0.6994072437037615,0.698403161796862,0.706,0.6988581191538528
128,Normal,none,0.01,64,TF,"(2, 2)",normalizar_txt_sin_StopWords_mas_stemming,100,0.10733420687369796,257.10325622558594,0.6094165594165595,0.6042420229614462,0.621,0.6047105156389662
128,Normal,none,0.1,16,TF-IDF,"(2, 2)",only_normalizar_texto,100,0.02152235704916636,641.8010511398315,0.6330991569650742,0.6355084991682709,0.637,0.6331076389415307
128,Normal,none,0.01,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,100,0.11095238700806899,248.72595167160034,0.6099151989562948,0.601235945412411,0.622,0.6008869179600886
128,Xavier,none,0.5,16,TF-IDF,"(1, 1)",normalizar_txt_sin_StopWords,16,0.21017140519429098,104.11441397666931,0.2865,0.5,0.573,0.3642720915448188
128,Xavier,none,0.01,64,TF-IDF,"(1, 2)",normalizar_txt_sin_StopWords,100,0.04192265230542876,387.75184893608093,0.7272304930841516,0.7198973315186517,0.732,0.7221807566635152
128,Normal,none,0.1,32,TF,"(1, 1)",normalizar_txt_sin_StopWords,100,0.027516699886898276,445.30364418029785,0.6730015192362715,0.6754621512153054,0.678,0.6736080701925105
128,Xavier,none,0.5,64,TF-IDF,"(2, 2)",normalizar_txt_sin_StopWords,11,0.2898188604638052,27.205130577087402,0.2135,0.5,0.427,0.299229152067274
